industries_clean,crop_and_animal_production,forestry_and_logging,fishing,mining,extraction_oli_ores,other_mining,mining_support_service,production_of_meat_products,fish_fruit_and_vegetables,oils_and_fats,dairy_products,grain_mill_products,bakery_products,other_food_products,prepared_animal_feeds,alcohol_tobacco,soft_drinks,textiles,wearing_apparel,leather,wood,paper,recorded_media,refined_petroleum,paints_varnishes_printing_ink,soap_detergents_cleaning,other_chemical,industrial_gases_chemicals,petrochemicals,dyestuffs_agro_chemicals,pharmaceutical,rubber_and_plastic,cement_lime_plaster,glass_clay_ceramic,iron_steel,other_metals_and_casting,weapons_ammunition,fabricated_metal_products,computer_electronic_optical,electrical_equipment,machinery_and_equipment,motor_vehicles_trailers,building_ships,air_and_spacecraft,other_transport_equipment,furniture,other_manufacturing,maintenance_ships,maintenance_aircraft_spacecraft,rest_of_repair_installation,electric_power_generation,manufacture_of_gas_distribution,water_collection_treatment_and_supply,sewerage,waste_collection_treatment,other_waste_management_services,construction,motor_vehicles_and_motorcycles,wholesale_trade,retail_trade,rail_transport,land_transport_services,water_transport,air_transport,warehousing,postal_and_courier,accommodation,food_and_beverage,publishing_activities,motion_picture_video,telecommunications,computer_programming,information_service_activities,financial_service_activities,insurance_pension,auxiliary_financial_services,real_estate_services,owner_occupiers_housing,buying_and_selling_renting,legal_activities,accounting_bookkeeping,head_offices_management,architectural,scientific_r_and_d,advertising_market_research,other_scientific_activities,veterinary_activities,rental_leasing_activities,employment_activities,travel_agency,security_activities,services_to_buildings,administrative_office_support,public_administration,education,human_health_activities,social_work_activities,creative_arts_activities,libraries_archives_museums,gambling_and_betting_activities,sports_and_amusement_activities,membership_organisations,repair_of_household_goods,other_personal_service_activities,total
crop_and_animal_production,4635,1,1,0,4,4,2,4279,1142,0,3247,719,4,118,862,279,2,1,1,8,2,5,2,2,1,1,1,1,12,1,177,6,6,2,3,1,0,9,3,3,8,7,1,8,1,7,2,0,0,7,83,5,2,1,7,1,248,13,66,66,9,34,4,20,18,4,23,25,5,12,8,25,3,38,11,9,3,22,42,9,5,21,56,7,21,28,1,9,4,15,1,4,18,49,33,65,49,4,1,20,5,3,1,4,16830
forestry_and_logging,95,272,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,116,0,0,0,1,0,9,1,2,4,2,2,1,5,2,1,2,2,0,2,1,3,0,4,2,1,0,1,7,1,1,2,1,0,2,1,0,1,1,4,0,1,1,6,5,4,3,0,0,1,1,0,1,0,923
fishing,0,0,0,0,0,0,0,0,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,1,0,26,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1260
mining,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11
extraction_oli_ores,8,0,0,0,316,12,2,6,4,1,3,2,3,6,2,4,2,1,0,0,3,5,3,550,1,2,2,5,4,1,9,5,9,4,5,4,3,18,6,6,23,17,1,26,1,2,3,0,0,3,1173,729,4,0,11,0,229,13,85,32,2,30,1,2,8,2,5,11,3,6,2,4,1,30,6,5,1,29,43,3,0,10,172,29,2,6,0,3,0,3,0,2,5,30,18,51,6,2,0,0,5,1,1,1,3911
other_mining,20,0,0,0,1,180,0,2,2,0,1,1,2,8,1,19,10,1,0,0,2,3,1,1,3,1,5,72,5,0,2,10,174,341,3,1,0,282,1,4,3,6,4,2,0,1,7,0,0,1,16,1,5,0,10,0,3272,5,35,26,4,24,1,4,7,2,4,9,2,3,2,6,1,8,2,2,1,22,14,2,1,3,10,3,4,7,0,3,1,1,0,35,8,26,26,27,5,3,3,0,5,4,0,4,4851
mining_support_service,5,0,0,0,2128,378,1062,5,4,0,3,1,4,6,2,5,2,1,0,0,2,5,2,1,1,1,1,2,2,0,3,5,9,2,2,1,0,6,2,2,6,5,0,6,0,2,2,0,0,1,3,2,1,0,4,0,39,9,83,48,2,56,1,2,12,4,3,5,4,6,3,9,2,16,3,4,1,6,4,2,1,5,41,8,7,14,0,5,1,2,0,1,14,17,15,30,9,2,0,0,2,2,0,1,4193
production_of_meat_products,46,1,6,0,8,3,3,3759,17,34,13,44,89,744,180,47,8,0,1,10,7,7,3,7,1,1,0,0,7,1,3,7,4,1,0,4,4,1,71,48,134,34,2,4,0,5,1,0,1,0,11,3,4,0,3,0,13,132,501,156,7,214,20,9,215,20,340,2230,13,23,13,72,7,18,3,5,0,0,33,2,2,2,3,5,10,15,1,1,15,14,3,18,11,68,448,243,242,9,2,21,37,11,19,19,10659
fish_fruit_and_vegetables,8,0,0,0,5,4,2,38,567,1,30,47,171,726,12,80,151,3,0,0,3,5,2,3,1,2,1,1,5,0,6,7,5,1,2,2,3,4,42,28,90,26,2,6,0,5,3,0,0,1,8,2,3,0,4,0,27,87,29,108,64,191,7,6,187,12,372,845,56,18,8,46,6,54,7,5,1,1,31,2,2,3,7,6,8,11,1,2,9,7,2,12,138,36,207,122,169,5,0,15,84,10,12,9,5171
oils_and_fats,0,0,0,0,1,0,0,1,18,0,0,51,61,42,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,4,0,9,0,0,0,1,10,145,1,1,1,3,0,5,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,1,7,1,16,9,19,0,0,1,6,1,1,0,462
